,RAJ2000,DEJ2000,Dist,Bmag,BmagHyp,ImagHyp,modzHyp,mod0Hyp,logd25Hyp,logr25Hyp,logdcHyp,PAHyp,BmagHypC,ImagHypC,U-BHypC,B-VHypC,Jmag2,Hmag2,Kmag2,a_b,PAK,BmagGWGC,maj,min,PAGWGC,DistGWGC,Kmag2MPZ,Bmag2MPZ,zsp2MPZ,zph2MPZ,Flag
667013,357.16921999999994,-2.3623449999999995,92.028,15.33,15.81,14.02,34.92,,0.85,0.19,0.86,136.2,15.33,13.95,,,13.633,12.946,12.776,0.7,-55.0,15.33,0.708,0.457,136.2,92.028,12.761,15.622,0.022190000000000005,0.031973,0
667018,150.13201888888887,-31.244976111111107,31.583,12.6,12.95,10.66,32.62,,1.31,0.15,1.34,179.9,12.6,10.52,0.35,0.87,9.749,9.032,8.818,0.6,0.0,12.6,2.042,1.446,179.9,31.583,8.792,12.49,0.008130000000000002,0.008867,0
667030,76.32511888888888,-9.147248055555554,44.347,12.53,13.03,10.86,33.33,,1.43,0.35,1.45,112.0,12.52,10.69,0.28,0.75,9.838,9.139,8.85,0.6,-55.0,12.53,1.816,0.89,112.0,44.347,8.818,12.735,0.010900000000000002,0.010972,0
667044,338.2499080555555,-20.094193888888885,80.264,14.13,14.43,13.35,34.57,,1.05,0.03,1.07,,14.14,13.25,,,13.761,13.023,12.809,0.4,15.0,14.13,0.83,0.772,,80.264,12.792,14.575,0.019050000000000004,0.011343,0
667076,138.79653888888888,29.252758055555553,88.167,16.19,17.13,,34.83,,0.72,0.46,0.71,2.4,16.19,,,,14.386,13.644,13.137,0.5,0.0,16.19,0.525,0.182,2.4,88.167,13.127,16.32,0.020800000000000003,0.062994,0
667092,159.2503811111111,18.135781944444442,86.125,14.0,14.44,,34.83,,1.04,0.17,1.04,157.0,14.12,,,,11.225,10.519,10.233,0.6,-45.0,14.0,1.257,0.93,157.0,86.125,10.223,14.119,0.020600000000000004,0.028994,0
667104,29.770623888888885,36.258621111111104,69.569,14.25,14.93,,34.26,,1.07,0.25,1.1,154.3,14.24,,,,11.702,11.014,10.66,0.8,15.0,14.25,1.069,0.62,148.6,69.569,10.626,16.694,0.016260000000000004,0.022374,0
667108,209.71360805555554,-33.48988694444444,56.806,14.61,14.96,12.42,33.87,,1.0,0.18,1.02,66.2,14.61,12.29,,,11.626,10.927,10.711,0.9,65.0,14.61,0.644,0.489,66.2,56.806,10.686,14.549,0.013740000000000002,0.015749,0
667118,263.2659911111111,27.574813888888887,98.569,15.6,15.82,,35.07,,0.85,0.26,0.86,166.7,15.15,,,,14.372,13.693,13.438,0.9,-15.0,15.6,0.708,0.389,166.7,98.569,13.419,15.546,,0.027657,0
667128,118.56142388888887,37.845969999999994,82.111,16.73,16.95,15.44,34.68,,0.7,0.45,0.7,18.8,15.94,15.34,,,14.318,13.867,13.416,0.7,15.0,16.73,0.501,0.174,18.8,82.111,13.397,15.764,0.019560000000000004,0.024388,0
667132,184.36695888888886,67.55899805555555,98.319,15.15,15.53,14.45,35.07,,0.89,0.14,0.9,116.8,15.15,14.4,,,13.31,12.723,12.47,0.7,-75.0,15.15,0.776,0.562,116.8,98.319,12.462,14.795,0.022680000000000002,0.02309,0
667145,197.44877611111107,-23.383831111111107,33.806,12.87,13.45,11.31,33.13,,1.19,0.06,1.26,173.2,12.87,11.08,,,10.292,9.599,9.33,0.9,-20.0,12.87,0.932,0.792,173.2,33.806,9.285,13.16,0.009680000000000001,0.012307,0
667155,60.98174999999999,30.83997305555555,76.625,13.57,15.05,,34.52,,0.89,0.0,1.12,,13.57,,,,11.294,10.56,10.223,0.8,-15.0,13.57,0.514,0.514,,76.625,10.102,13.452,0.018260000000000002,0.01253,0
667161,28.556346944444442,18.101708888888886,69.847,14.32,14.8,13.43,34.3,,1.05,0.12,1.07,60.5,14.33,13.33,,,13.522,12.914,12.757,0.5,60.0,14.32,0.953,0.743,60.5,69.847,12.737,14.537,,0.012823,0
667163,147.60606388888888,-11.533898888888887,74.722,15.34,15.53,13.66,34.47,,0.84,0.22,,95.5,15.28,13.57,,,13.041,12.314,12.111,0.8,-85.0,15.34,0.692,0.417,95.5,74.722,12.094,15.036,0.018230000000000003,0.026181,0
667181,169.46191388888886,-26.134469999999997,25.611,13.4,13.65,11.25,32.3,,1.25,0.17,1.28,136.7,13.4,11.16,0.31,0.83,10.816,10.164,9.946,0.8,-25.0,13.4,2.039,1.407,136.7,25.611,9.928,13.113,0.007160000000000001,0.008593,0
667201,23.759808055555553,41.248153888888886,73.125,14.08,14.42,,34.42,,1.12,0.37,1.13,148.3,14.08,,,,11.106,10.407,10.143,0.6,-30.0,14.08,1.582,0.807,148.3,73.125,10.122,13.988,0.017050000000000003,0.017811,0
